Status,Source Unit,Destination Unit,Source Clock Domain,Destination Clock Domain,Local Source Clock,Local Destination Clock,Pair Classification,Violation,Scheme,Id,Domain Crossing,Number of Pair Bits
Passed,u_NTT.out_data_reg[112],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,96,{clk2 clk3},16
Passed,u_NTT.out_data_reg[35],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,97,{clk2 clk3},16
Passed,u_NTT.out_data_reg[70],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,98,{clk2 clk3},16
Passed,u_NTT.out_data_reg[34],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,99,{clk2 clk3},16
Passed,u_NTT.out_data_reg[31],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,100,{clk2 clk3},16
Passed,u_NTT.out_data_reg[30],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,101,{clk2 clk3},16
Passed,u_NTT.out_data_reg[29],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,102,{clk2 clk3},16
Passed,u_NTT.out_data_reg[28],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,103,{clk2 clk3},16
Passed,u_NTT.out_data_reg[27],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,104,{clk2 clk3},16
Passed,u_NTT.out_data_reg[26],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,105,{clk2 clk3},16
Passed,u_NTT.out_data_reg[25],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,106,{clk2 clk3},16
Passed,u_NTT.out_data_reg[23],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,107,{clk2 clk3},16
Passed,u_NTT.out_data_reg[22],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,108,{clk2 clk3},16
Passed,u_NTT.out_data_reg[21],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,109,{clk2 clk3},16
Passed,u_NTT.out_data_reg[20],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,110,{clk2 clk3},16
Passed,u_NTT.out_data_reg[19],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,111,{clk2 clk3},16
Passed,u_FIFO_syn.rptr[3],u_FIFO_syn.sync_wq2.genblk1[3].u_NDFF_syn.A1,clk3,clk2,clk3,clk2,Control,,u_FIFO_syn.rdata,112,{clk3 clk2},1
Passed,u_NTT.out_data_reg[17],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,113,{clk2 clk3},16
Passed,u_NTT.out_data_reg[16],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,114,{clk2 clk3},16
Passed,u_NTT.out_data_reg[15],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,115,{clk2 clk3},16
Passed,u_NTT.out_data_reg[14],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,116,{clk2 clk3},16
Passed,u_NTT.out_data_reg[12],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,117,{clk2 clk3},16
Passed,u_NTT.out_data_reg[11],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,118,{clk2 clk3},16
Passed,u_NTT.out_data_reg[9],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,119,{clk2 clk3},16
Passed,u_NTT.out_data_reg[8],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,120,{clk2 clk3},16
Passed,u_NTT.out_data_reg[7],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,121,{clk2 clk3},16
Passed,u_NTT.out_data_reg[6],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,122,{clk2 clk3},16
Passed,u_NTT.out_data_reg[2],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,123,{clk2 clk3},16
Passed,u_NTT.out_data_reg[1],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,124,{clk2 clk3},16
Passed,u_NTT.out_data_reg[0],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,125,{clk2 clk3},16
Passed,u_NTT.current_state,u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,127,{clk2 clk3},48
Passed,u_NTT.out_data_reg[57],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,128,{clk2 clk3},16
Passed,u_NTT.out_data_reg[4],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,129,{clk2 clk3},16
Passed,u_NTT.out_data_reg[45],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,130,{clk2 clk3},16
Passed,u_NTT.out_data_reg[80],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,131,{clk2 clk3},16
Passed,u_NTT.out_data_reg[3],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,132,{clk2 clk3},16
Passed,u_NTT.out_data_reg[53],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,133,{clk2 clk3},16
Passed,u_NTT.out_data_reg[47],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,134,{clk2 clk3},16
Passed,u_NTT.out_data_reg[120],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,135,{clk2 clk3},16
Passed,u_NTT.out_data_reg[118],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,136,{clk2 clk3},16
Passed,u_NTT.out_data_reg[33],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,137,{clk2 clk3},16
Passed,u_NTT.out_data_reg[18],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,138,{clk2 clk3},16
Passed,u_NTT.out_data_reg[46],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,139,{clk2 clk3},16
Passed,u_NTT.out_data_reg[5],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,140,{clk2 clk3},16
Passed,u_NTT.out_data_reg[49],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,141,{clk2 clk3},16
Passed,u_NTT.out_data_reg[32],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,142,{clk2 clk3},16
Passed,u_NTT.out_data_reg[10],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,143,{clk2 clk3},16
Passed,u_NTT.out_data_reg[58],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,147,{clk2 clk3},16
Passed,u_NTT.out_data_reg[69],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,148,{clk2 clk3},16
Passed,u_NTT.out_data_reg[81],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,149,{clk2 clk3},16
Passed,u_NTT.out_data_reg[103],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,150,{clk2 clk3},16
Passed,u_NTT.out_data_reg[94],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,151,{clk2 clk3},16
Passed,u_NTT.out_data_reg[116],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,152,{clk2 clk3},16
Passed,u_NTT.out_data_reg[24],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,153,{clk2 clk3},16
Passed,u_NTT.out_data_reg[79],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,154,{clk2 clk3},16
