addr,data
0x177E,66
0x1780,33
0x1782,-18
0x1784,-86
0x1786,100
0x1788,-70
0x178A,39
0x178C,-47
0x178E,-43
0x1790,-86
0x1792,-98
0x1794,-34
0x1796,77
0x1798,66
0x179A,57
0x179C,71
0x179E,37
0x17A0,-38
0x17A2,28
0x17A4,-89
0x17A6,-35
0x17A8,-66
0x17AA,-63
0x17AC,-29
0x17AE,22
0x17B0,-31
0x17B2,-12
0x17B4,67
0x17B6,83
0x17B8,-57
0x17BA,-29
0x17BC,-6
0x17BE,6
0x17C0,-11
0x17C2,6
0x17C4,81
0x17C6,-16
0x17C8,73
0x17CA,-54
0x17CC,-81
0x17CE,-8
0x17D0,1
0x17D2,99
0x17D4,20
0x17D6,-59
0x17D8,94
0x17DA,83
0x17DC,-91
0x17DE,-77
0x17E0,66
0x17E2,54
0x17E4,-26
0x17E6,92
0x17E8,-65
0x17EA,97
0x17EC,-59
0x17EE,40
0x17F0,-75
0x17F2,-93
0x17F4,17
0x17F6,-6
0x17F8,-86
0x17FA,-71
0x17FC,-62
0x17FE,-34
0x1800,2
0x1802,-69
0x1804,-30
0x1806,-7
0x1808,-61
0x180A,5
0x180C,-37
0x180E,-10
0x1810,58
0x1812,-8
0x1814,-83
0x1816,-7
0x1818,64
0x181A,-2
0x181C,40
0x181E,-51
0x1820,46
0x1822,-60
0x1824,75
0x1826,64
0x1828,-51
0x182A,-48
0x182C,-52
0x182E,-60
0x1830,-100
0x1832,28
0x1834,12
0x1836,-17
0x1838,36
0x183A,-51
0x183C,-79
0x183E,79
0x1840,40
0x1842,56
0x1844,64
0x1846,37
0x1848,6
0x184A,-74
0x184C,71
0x184E,20
0x1850,-92
0x1852,81
0x1854,21
0x1856,20
0x1858,-39
0x185A,-42
0x185C,-75
0x185E,-16
0x1860,59
0x1862,100
0x1864,-63
0x1866,-85
0x1868,21
0x186A,-26
0x186C,-7
0x186E,93
0x1870,81
0x1872,83
0x1874,-53
0x1876,-12
0x1878,-32
0x187A,-42
0x187C,91
0x187E,-49
0x1880,4
0x1882,58
0x1884,19
0x1886,15
0x1888,85
0x188A,16
0x188C,29
0x188E,-51
0x1890,-47
0x1892,66
0x1894,92
0x1896,67
0x1898,97
0x189A,-43
0x189C,-10
0x189E,-24
0x18A0,79
0x18A2,-44
0x18A4,-92
0x18A6,-16
0x18A8,63
0x18AA,6
0x18AC,95
0x18AE,49
0x18B0,69
0x18B2,-81
0x18B4,99
0x18B6,-69
0x18B8,79
0x18BA,-20
0x18BC,-100
0x18BE,37
0x18C0,5
0x18C2,46
0x18C4,5
0x18C6,17
0x18C8,-96
0x18CA,-88
0x18CC,-55
0x18CE,61
0x18D0,98
0x18D2,-38
0x18D4,2
0x18D6,66
0x18D8,-12
0x18DA,-23
0x18DC,-45
0x18DE,-83
0x18E0,100
0x18E2,-95
0x18E4,33
0x18E6,-94
0x18E8,34
0x18EA,-46
0x18EC,11
0x18EE,-20
0x18F0,-16
0x18F2,-62
0x18F4,-91
0x18F6,-8
0x18F8,-29
0x18FA,-66
0x18FC,-49
0x18FE,-82
0x1900,-92
0x1902,36
0x1904,69
0x1906,10
0x1908,-29
0x190A,-37
0x190C,-56
0x190E,-70
0x1910,-45
0x1912,2
0x1914,66
0x1916,-74
0x1918,-91
0x191A,-37
0x191C,-41
0x191E,27
0x1920,8
0x1922,-18
0x1924,68
0x1926,50
0x1928,-4
0x192A,25
0x192C,-40
0x192E,64
0x1930,-87
0x1932,58
0x1934,67
0x1936,43
0x1938,58
0x193A,95
0x193C,27
0x193E,8
0x1940,-95
0x1942,-25
0x1944,-16
0x1946,99
0x1948,10
0x194A,42
0x194C,18
0x194E,-26
0x1950,-32
0x1952,-79
0x1954,-71
0x1956,12
0x1958,-9
0x195A,-13
0x195C,-29
0x195E,13
0x1960,70
0x1962,34
0x1964,36
0x1966,-100
0x1968,-26
0x196A,52
0x196C,-8
0x196E,-69
0x1970,15
0x1972,60
0x1974,-21
0x1976,-77
0x1978,32
0x197A,-69
0x197C,-74
0x197E,98
0x1980,-39
0x1982,-83
0x1984,-22
0x1986,76
0x1988,-61
0x198A,36
0x198C,71
0x198E,89
0x1990,-41
0x1992,52
0x1994,-57
0x1996,74
0x1998,82
0x199A,63
0x199C,-98
0x199E,-23
0x19A0,87
0x19A2,-77
0x19A4,-75
0x19A6,-19
0x19A8,-70
0x19AA,-92
0x19AC,62
0x19AE,2
0x19B0,2
0x19B2,87
0x19B4,-55
0x19B6,-92
0x19B8,-42
0x19BA,-59
0x19BC,-23
0x19BE,-75
0x19C0,-16
0x19C2,-70
0x19C4,-16
0x19C6,-88
0x19C8,33
0x19CA,-1
0x19CC,80
0x19CE,85
0x19D0,17
0x19D2,-35
0x19D4,91
0x19D6,-26
0x19D8,-93
0x19DA,-54
0x19DC,-47
0x19DE,29
0x19E0,-87
0x19E2,-44
0x19E4,47
0x19E6,-86
0x19E8,100
0x19EA,28
0x19EC,-9
0x19EE,-68
0x19F0,38
0x19F2,-95
0x19F4,37
0x19F6,55
0x19F8,-78
0x19FA,-24
0x19FC,-10
0x19FE,-69
0x1A00,-78
0x1A02,-52
0x1A04,-74
0x1A06,18
0x1A08,51
0x1A0A,95
0x1A0C,-77
0x1A0E,54
0x1A10,-53
0x1A12,63
0x1A14,58
0x1A16,-86
0x1A18,-77
0x1A1A,48
0x1A1C,71
0x1A1E,78
0x1A20,-31
0x1A22,-8
0x1A24,-60
0x1A26,-66
0x1A28,-51
0x1A2A,-79
0x1A2C,92
0x1A2E,-1
0x1A30,1
0x1A32,12
0x1A34,-75
0x1A36,-83
0x1A38,14
0x1A3A,-28
0x1A3C,-41
0x1A3E,100
0x1A40,15
0x1A42,63
0x1A44,-30
0x1A46,84
0x1A48,-6
0x1A4A,-41
0x1A4C,-8
0x1A4E,-72
0x1A50,-31
0x1A52,84
0x1A54,-11
0x1A56,7
0x1A58,46
0x1A5A,39
0x1A5C,-86
0x1A5E,-14
0x1A60,68
0x1A62,88
0x1A64,-28
0x1A66,-65
0x1A68,90
0x1A6A,-44
0x1A6C,-48
0x1A6E,-14
0x1A70,27
0x1A72,-65
0x1A74,44
0x1A76,81
0x1A78,0
0x1A7A,43
0x1A7C,-23
0x1A7E,60
0x1A80,-100
0x1A82,36
0x1A84,-3
0x1A86,-25
0x1A88,42
0x1A8A,-74
0x1A8C,63
0x1A8E,-94
0x1A90,71
0x1A92,63
0x1A94,22
0x1A96,-29
0x1A98,10
0x1A9A,-21
0x1A9C,-87
0x1A9E,-69
0x1AA0,19
0x1AA2,24
0x1AA4,92
0x1AA6,-72
0x1AA8,99
0x1AAA,80
0x1AAC,97
0x1AAE,-93
0x1AB0,-80
0x1AB2,-73
0x1AB4,-74
0x1AB6,31
0x1AB8,43
0x1ABA,-92
0x1ABC,-38
0x1ABE,37
0x1AC0,51
0x1AC2,70
0x1AC4,69
0x1AC6,-25
0x1AC8,-96
0x1ACA,85
0x1ACC,-49
0x1ACE,-75
0x1AD0,96
0x1AD2,-86
0x1AD4,-31
0x1AD6,30
0x1AD8,56
0x1ADA,47
0x1ADC,8
0x1ADE,-14
0x1AE0,84
0x1AE2,1
0x1AE4,-54
0x1AE6,81
0x1AE8,98
0x1AEA,84
0x1AEC,-67
0x1AEE,-22
0x1AF0,-90
0x1AF2,62
0x1AF4,-62
0x1AF6,-33
0x1AF8,17
0x1AFA,-44
0x1AFC,33
0x1AFE,51
0x1B00,100
0x1B02,-37
0x1B04,97
0x1B06,23
0x1B08,71
0x1B0A,-65
0x1B0C,24
0x1B0E,100
0x1B10,50
0x1B12,16
0x1B14,14
0x1B16,61
0x1B18,-3
0x1B1A,50
0x1B1C,-71
0x1B1E,43
0x1B20,-64
0x1B22,-71
0x1B24,-82
0x1B26,-35
0x1B28,58
0x1B2A,-13
0x1B2C,-33
0x1B2E,10
0x1B30,31
0x1B32,24
0x1B34,-96
0x1B36,-35
0x1B38,-73
0x1B3A,-11
0x1B3C,-64
0x1B3E,-76
0x1B40,94
0x1B42,73
0x1B44,23
0x1B46,-55
0x1B48,-5
0x1B4A,42
0x1B4C,98
0x1B4E,-48
0x1B50,-96
0x1B52,51
0x1B54,20
0x1B56,-38
0x1B58,76
0x1B5A,40
0x1B5C,8
0x1B5E,62
0x1B60,13
0x1B62,-6
0x1B64,1
0x1B66,-42
0x1B68,36
0x1B6A,-28
0x1B6C,-31
0x1B6E,9
0x1B70,58
0x1B72,7
0x1B74,-4
0x1B76,-88
0x1B78,-33
0x1B7A,-81
0x1B7C,2
0x1B7E,82
0x1B80,-40
0x1B82,77
0x1B84,-95
0x1B86,-25
0x1B88,-95
0x1B8A,-79
0x1B8C,-7
0x1B8E,-43
0x1B90,-96
0x1B92,17
0x1B94,62
0x1B96,17
0x1B98,-94
0x1B9A,80
0x1B9C,-70
0x1B9E,-19
0x1BA0,17
0x1BA2,-84
0x1BA4,1
0x1BA6,-57
0x1BA8,15
0x1BAA,-70
0x1BAC,53
0x1BAE,10
0x1BB0,-40
0x1BB2,-35
0x1BB4,-15
0x1BB6,-10
0x1BB8,-9
0x1BBA,-8
0x1BBC,94
0x1BBE,40
0x1BC0,37
0x1BC2,-16
0x1BC4,3
0x1BC6,48
0x1BC8,18
0x1BCA,40
0x1BCC,88
0x1BCE,-4
0x1BD0,31
0x1BD2,38
0x1BD4,-66
0x1BD6,72
0x1BD8,-25
0x1BDA,-41
0x1BDC,-50
0x1BDE,91
0x1BE0,-90
0x1BE2,14
0x1BE4,-54
0x1BE6,-35
0x1BE8,7
0x1BEA,53
0x1BEC,-46
0x1BEE,-47
0x1BF0,-42
0x1BF2,86
0x1BF4,-48
0x1BF6,19
0x1BF8,-58
0x1BFA,84
0x1BFC,-64
0x1BFE,36
0x1C00,-41
0x1C02,65
0x1C04,8
0x1C06,-38
0x1C08,80
0x1C0A,-67
0x1C0C,20
0x1C0E,-37
0x1C10,36
0x1C12,-46
0x1C14,-43
0x1C16,17
0x1C18,5
0x1C1A,-25
0x1C1C,-64
0x1C1E,-42
0x1C20,-78
0x1C22,51
0x1C24,36
0x1C26,0
0x1C28,39
0x1C2A,75
0x1C2C,-14
0x1C2E,-45
0x1C30,90
0x1C32,-71
0x1C34,91
0x1C36,-92
0x1C38,-96
0x1C3A,4
0x1C3C,-13
0x1C3E,18
0x1C40,35
0x1C42,32
0x1C44,-86
0x1C46,71
0x1C48,1
0x1C4A,61
0x1C4C,-35
0x1C4E,-50
0x1C50,53
0x1C52,93
0x1C54,32
0x1C56,-1
0x1C58,97
0x1C5A,-52
0x1C5C,-32
0x1C5E,-56
0x1C60,45
0x1C62,-17
0x1C64,22
0x1C66,-66
0x1C68,-30
0x1C6A,-20
0x1C6C,-33
0x1C6E,65
0x1C70,7
0x1C72,-59
0x1C74,83
0x1C76,90
0x1C78,52
0x1C7A,-90
0x1C7C,-48
0x1C7E,30
0x1C80,-2
0x1C82,-82
0x1C84,21
0x1C86,-75
0x1C88,86
0x1C8A,-86
0x1C8C,-10
0x1C8E,76
0x1C90,-6
0x1C92,28
0x1C94,-96
0x1C96,7
0x1C98,-34
0x1C9A,30
0x1C9C,-97
0x1C9E,-62
0x1CA0,18
0x1CA2,77
0x1CA4,-46
0x1CA6,7
0x1CA8,-89
0x1CAA,-60
0x1CAC,19
0x1CAE,68
0x1CB0,75
0x1CB2,27
0x1CB4,99
0x1CB6,11
0x1CB8,100
0x1CBA,68
0x1CBC,-47
0x1CBE,71
0x1CC0,-29
0x1CC2,54
0x1CC4,35
0x1CC6,23
0x1CC8,-8
0x1CCA,-49
0x1CCC,-93
0x1CCE,-68
0x1CD0,28
0x1CD2,71
0x1CD4,-1
0x1CD6,56
0x1CD8,-37
0x1CDA,16
0x1CDC,2
0x1CDE,-26
0x1CE0,88
0x1CE2,-17
0x1CE4,75
0x1CE6,31
0x1CE8,56
0x1CEA,37
0x1CEC,17
0x1CEE,9
0x1CF0,19
0x1CF2,6
0x1CF4,-43
0x1CF6,40
0x1CF8,88
0x1CFA,87
0x1CFC,-18
0x1CFE,59
0x1D00,-84
0x1D02,13
0x1D04,12
0x1D06,72
0x1D08,-80
0x1D0A,41
0x1D0C,-24
0x1D0E,-12
0x1D10,-71
0x1D12,28
0x1D14,-15
0x1D16,18
0x1D18,-26
0x1D1A,-28
0x1D1C,-80
0x1D1E,61
0x1D20,28
0x1D22,35
0x1D24,91
0x1D26,-100
0x1D28,-40
0x1D2A,64
0x1D2C,-76
0x1D2E,27
0x1D30,-64
0x1D32,2
0x1D34,65
0x1D36,68
0x1D38,37
0x1D3A,-68
0x1D3C,-3
0x1D3E,95
0x1D40,63
0x1D42,-62
0x1D44,-48
0x1D46,-60
0x1D48,89
0x1D4A,-3
0x1D4C,99
0x1D4E,13
0x1D50,-100
0x1D52,37
0x1D54,46
0x1D56,-40
0x1D58,50
